ID,ID Centro de Distribución,ID Solicitante,ID Laboratorio,Nombre,Nombre Generado,Características,ID Forma Farmacéutica,Cantidad,ID Medida Peso/Tamaño,ID Tipo Empaque,Talla/Capacidad,Calibre/Grosor/Diámetro,Descripción Oferta Especial,Vencimiento Registro Sanitario,Número Registro Sanitario,Código de Barras,ID Tipo de Impuesto,ID Clasificación,Es Controlado,Es Refrigerado,Uso Hospitalario,Requiere Receta Retenida,Uso Crónico,Para Farmacias Propias,Para Farmacias Independientes,Para Uso Institucional/Hospitalario,Es Ruteado,Para Venta al por Mayor,Para Autoservicio,Es Borrador,Activo
13,,,,I-PETIT,I-PETIT ANTIPRURIGINOSO PARA TRATAMIENTO DE IRRITACIONES DE LA PIEL 40G CREMA BOTE 40 GRAMOS,Antipruriginoso para tratamiento de irritaciones de la piel,,40,,,40 GRAMOS,,,2028-11-02,"PF-64154	",7.40107E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
14,,,,PRUDENCE SENSITIVO RETARDANTE ,PRUDENCE SENSITIVO RETARDANTE  CON 3 UNIDADES 3 OTROS (RUTEO) CAJA UNITALLA,con 3 unidades,,3,,,UNITALLA,,,2028-09-05,PMQ 17857,7.50221E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
15,,,,ODDENT AH Forte Spray 20 ml,"ODDENT AH FORTE SPRAY 20 ML PRODUCTO QUE PROPORCIONA UNA ÓPTIMA ADHESIÓN Y PROTECCIÓN DE LA MUCOSA GINGIVAL, CONTIENE ÁCIDO HIALURÓNICO AL 0.04% 20ML SOLUCION SPRAY CAJA","Producto que proporciona una óptima adhesión y protección de la mucosa gingival, contiene Ácido Hialurónico al 0.04%",,20,,,,,,2029-09-23,OD-3703,7.40605E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
16,,,,COLLARIN SUAVE COLOR GRIS TALLA M,COLLARIN SUAVE COLOR GRIS TALLA M COLLARIN SUAVE COLOR GRIS TALLA M 2.25 0G OTROS (RUTEO) BOLSA TALLA S (BONO),COLLARIN SUAVE COLOR GRIS TALLA M,,0,,,TALLA S,2.25,BONO,2030-01-01,PMQ-18975,515-00200903,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
17,,,,Moxiflox,MOXIFLOX FRASCO GOTERO 5ML  5ML GOTAS BOTE 5ML,Frasco gotero 5ml ,,5,,,5ml,,,2027-06-22,RMG-HN-M-0622-0066,7.42E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,
18,,,,Vitamina C ,VITAMINA C  VITAMINA C CÁPSULA DE 500MG. FCO. DE 100 CAPS .COLOR NARANJA  100UNIDAD CAPSULA FRASCO,Vitamina C cápsula de 500mg. Fco. de 100 Caps .color naranja ,,100,,,,,,2025-12-15,"R4-20-08692	",7.443E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,
19,,,,PHARMADEL IBUDEL ,PHARMADEL IBUDEL  IBUPROFENO 400 MG 10ML SUSPENSION SACHET 10 ML,IBUPROFENO 400 MG,,10,,,10 ML,,,2029-08-02,PF-65613-2024,7.40636E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
20,,,,PROMOCIONAL SET INSTANT ,PROMOCIONAL SET INSTANT  GLUCOMETRO 1UNIDAD OTROS (RUTEO) CAJA,GLUCOMETRO,,1,,,,,,2027-12-08, RD-72320,4.01563E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
21,,,,VINAGRE DEXINTOSICANTE CAPILAR,"VINAGRE DEXINTOSICANTE CAPILAR ELIMINA EFICAZMENTE LAS IMPUREZAS QUE APELMAZAN EL CABELLO, GARANTIZANDO UN CABELLO PURIFICADO, SUAVE Y LUMINOSO. 1ML LOCION CAPILAR BOTE 150ML","Elimina eficazmente las impurezas que apelmazan el cabello, garantizando un cabello purificado, suave y luminoso.",,1,,,150ML,,,2027-12-10,"En trámite de renovación, contraseña: JT35R        ",3.66001E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
22,,,,AC-NORM MEDILIKE EFFECT TYPE 3 FREZYDERM,FREZYDERM (GRECIA) AC-NORM MEDILIKE EFFECT TYPE 3 FREZYDERM 1ML CREMA FACIAL CAJA,,,1,,,,,,2030-02-13,PT-127934,5.20289E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
23,,,,NUTRIGEL COMPLEX NEUTRO CJAX30UN,NUTRIGEL COMPLEX NEUTRO CJAX30UN SOBRES DE POLVO PARA SOLUCIÓN ORAL  14G SOBRE POLVO CAJA,Sobres de polvo para solución oral ,,14,,,,,,2026-09-24,PF-60079-2021,7.70315E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
24,,,,TIGLAT 5MG,TIGLAT 5MG TIAMAZOL 20G TABLETA CAJA,TIAMAZOL,,20,,,,,,2029-08-01,21995,19006602583,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,
25,,,," Suavizante de Telas Downy Intense Floral, Aroma Dulce con Notas Florales, 730 ml","SUAVIZANTE DE TELAS DOWNY INTENSE FLORAL, AROMA DULCE CON NOTAS FLORALES, 730 ML 1 OTROS (RUTEO) BOTE",,,1,,,,,,2029-11-19,PH-5197,7.50044E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
26,,,,Colado Agú Manzana Piña Guayaba,COLADO AGÚ MANZANA PIÑA GUAYABA PURÉ / COLADO MANZANA PIÑA GUAYABA 113G OTROS (RUTEO) DOYPACK,Puré / colado manzana piña guayaba,,113,,,,,,2028-11-21,A-CR-23-14764,74892801187,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
27,,,,Downy Exotico 360ml,DOWNY EXOTICO 360ML 1 OTROS (RUTEO) BOTE,,,1,,,,,,2026-03-17,9035,7.50044E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
28,,,,AC-NORM MEDILIKE EFFECT TYPE 2 FREZYDERM,FREZYDERM (GRECIA) AC-NORM MEDILIKE EFFECT TYPE 2 FREZYDERM 1 CREMA FACIAL CAJA,,,1,,,,,,2030-02-11,PT-127935,5.20289E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
29,,,,MICROPOR BLANCO CUREBAND 1X10Y,MICROPOR BLANCO CUREBAND 1X10Y 12UNIDAD OTROS (RUTEO) CAJA,,,12,,,,,,2030-08-08,PMQ-7060,7.70214E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,
30,,,,Magnesio Total 5 con Harpago ,MAGNESIO TOTAL 5 CON HARPAGO  COMPRIMIDOS DE 5 FUENTES DISTINTAS DE MAGNESIO CON EXTRACTO DE HARPAGOFITO (ANTIINFLAMATORIO Y ANALGÉSICO) 1 COMPRIMIDO BOTE,Comprimidos de 5 fuentes distintas de magnesio con extracto de harpagofito (antiinflamatorio y analgésico),,1,,,,,,2030-03-20,PFD-66615-2025,8.436E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,
31,,,,ISOFORM ,IRONWRX ISOFORM  PROTEÍNA HIDROLIZADA Y AISLADA DE SUERO DE LECHE SABOR VAINILLA 1800G POLVO BOTE,Proteína Hidrolizada y Aislada de suero de Leche Sabor Vainilla,,1800,,,,,,2026-11-30,B40195,7.40401E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
32,,,,Scott aqua de 4 rollos,KIMBERLY CLARK SCOTT AQUA DE 4 ROLLOS PAPEL HIGIENICO 1KG OTROS (RUTEO) BOLSA RENDIMIENTO MEDIO (NO TIENE ),Papel higienico,,1,,,rendimiento medio,,no tiene ,2029-06-18,rf,1.7441E+13,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
33,,,,LOCION TRATANTE ANTI CASPA,"LOCION TRATANTE ANTI CASPA FLUIDA ACUOSA, NO PEGAJOSA
BENEFICIOS: ACCIÓN ANTIRRECURRENCIA DURANTE 14 DÍAS
APLICACIÓN: DIARIAMENTE, SOBRE EL CUERO CABELLUDO SECO O HÚMEDO 1ML LIQUIDO BOTE 150ML","Fluida acuosa, no pegajosa
Beneficios: Acción antirrecurrencia durante 14 días
Aplicación: Diariamente, sobre el cuero cabelludo seco o húmedo",,1,,,150ML,,,2030-02-02,"En trámite de renovación, contraseña: N5K11	",3.66001E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
34,,,,"POLVO JB DERMO PROTECT ORIGINAL 200 GRAMOS	","POLVO JB DERMO PROTECT ORIGINAL 200 GRAMOS	 ES DERMATOLÓGICAMENTE PROBADO, TIENE SUAVIDAD CLÍNICAMENTE PROBADA Y ES LIBRE DE COLORANTES, PARABENOS Y FTALATOS. TRIPLE ACCIÓN: PROTEGE, ALIVIA Y DEJA LA PIEL CONFORTABLE. 1G POLVO BOTE 200","Es dermatológicamente probado, tiene suavidad clínicamente probada y es libre de colorantes, parabenos y ftalatos. Triple acción: protege, alivia y deja la piel confortable.",,1,,,200,,,2028-02-20,116115,7.70203E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,
35,,,,Scott jumbo de 6 rollos 280 hojas Mayoreo,KIMBERLY CLARK SCOTT JUMBO DE 6 ROLLOS 280 HOJAS MAYOREO PAPEL HIGIENICO 1KG OTROS (RUTEO) BOLSA M RENDIMIENTO MEDIANO,Papel higienico,,1,,,M rendimiento mediano,,,2029-08-16,rf,7.44101E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
36,,,,VinIcola Presidente Blanco,ALZA VINICOLA PRESIDENTE BLANCO 355ML OTROS (RUTEO) FRASCO,,,355,,,,,,2029-02-20,B-100,7.40101E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
37,,,,EAU SERUM BOOSTER H.A,URIAGE  EAU SERUM BOOSTER H.A SERUM HIDRATANTE BOOSTER CON ACIDO HIALURONICO  30ML CREMA FACIAL CAJA 1,SERUM HIDRATANTE BOOSTER CON ACIDO HIALURONICO ,,30,,,1,,,2030-06-06,PT-130009,3.66143E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
38,,,,IRINA X 20 AMPOLLAS,"HOSPI IRINA X 20 AMPOLLAS AMPOLLAS PARA NEBULIZACION 0.5 MGS/2ML
 20DOSIS SOLUCION INHALACION AMPOLLAS 0.5 MGS/2ML (NO)","Ampollas para nebulizacion 0.5 Mgs/2ML
",,20,,,0.5 Mgs/2Ml,,no,2029-08-21,PF- 65755 - 2024,8 906044 712485,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,
39,,,,ENERGY SHOT,IRONWRX ENERGY SHOT GEL ENERGÉTICO E ISOTÓNICO SABOR TANGERINE 65ML GEL SACHET 12,Gel energético e isotónico sabor Tangerine,,65,,,12,,,2027-08-22,B41839,7.40401E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
40,,,,ENERGY SHOT,ENERGY SHOT GEL ENERGÉTICO E ISOTÓNICO SABOR LEMON LIME 65ML GEL SACHET,Gel energético e isotónico sabor Lemon Lime,,65,,,,,,2027-08-22,B41840,7.40401E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
41,,,,Sidra Espumosa Wells Melocoton,ALZA SIDRA ESPUMOSA WELLS MELOCOTON 750ML OTROS (RUTEO) FRASCO,,,750,,,,,,2030-02-27,B-10915,7.40101E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
42,,,,VITALBOX CORTADOR Y TRITURADOR DE PASTILLAS,"VITALBOX CORTADOR Y TRITURADOR DE PASTILLAS CORTADOR Y TRITURADOR DE PASTILLAS
 5.5MM 1G OTROS (RUTEO) CAJA 7ML","CORTADOR Y TRITURADOR DE PASTILLAS
",,1,,,7ML,5.5MM,,2030-01-01,6.97873E+12,6.97873E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
43,,,,LISTERINE ANTICARIES ZERO 250ML.,"LISTERINE ANTICARIES ZERO 250ML. ES EFECTIVO EN ELIMINAR HASTA EL 99.9% DE LAS BACTERIAS QUE CAUSAN LA PLACA, CARIES Y EL MAL ALIENTO. 1ML ENJUAGUE BUCAL BOTE 250","Es efectivo en eliminar hasta el 99.9% de las bacterias que causan la placa, caries y el mal aliento.",,1,,,250,,,2028-10-19,119999,7.70203E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
44,,,,ACERCA TAB B10 C10,ACERCA TAB B10 C10 ACETAMINOFÉN+ERGOTAMINA +CAFEINA 10UNIDAD TABLETA CAJA,ACETAMINOFÉN+ERGOTAMINA +CAFEINA,,10,,,,,,2029-01-12,PF-64567,7.40109E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,
45,,,,EAU THERMALE SOIN CONT YEUX T ,URIAGE  EAU THERMALE SOIN CONT YEUX T  CREMA PARA CONTORNO DE OJOS CON ACIDO HIALURONICO  15ML CREMA FACIAL CAJA 1,CREMA PARA CONTORNO DE OJOS CON ACIDO HIALURONICO ,,15,,,1,,,2030-06-06,PT-130031,3.66143E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
46,,,,Histadril Crema tubo x 25 gramos ,"HISTADRIL CREMA TUBO X 25 GRAMOS  ALIVIO TEMPORAL DE LA PICAZÓN Y DEL DOLOR ASOCIADOS CON: 
PICADURAS DE INSECTOS
ALERGÍAS
QUEMADURAS SOLARES LEVES 25G CREMA BOTE TUBO DE 25 GRAMOS","Alivio temporal de la picazón y del dolor asociados con: 
Picaduras de insectos
Alergías
Quemaduras solares leves",,25,,,tubo de 25 gramos,,,2028-04-24,RMG-HM-M-06180530,7.1784E+11,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
47,,,,CERAVE LOCION HIDRA INTENS 236 ML,CERAVE LOCION HIDRA INTENS 236 ML LOCION HIDRANTE 1 LOCION FRASCO 236 ML,LOCION HIDRANTE,,1,,,236 ML,,,2029-12-10,PT127377,3.33788E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
48,,,,Flexitrol Advance,FLEXITROL ADVANCE 14 30 CAPSULA CAJA CONTIENE 30 CÁPSULAS (LA CAJA DE FLEXITROL ADVANCE TIENE UN BONO DE Q20.00),,,30,,,Contiene 30 cápsulas,14,La caja de Flexitrol Advance tiene un bono de Q20.00,2029-05-29,B-35468,401162-700983,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
49,,,,IMMUNITY GUMMY HUGS,IMMUNITY GUMMY HUGS GOMAS  VITAMINA C  Y ZINC  ESTIMUNAL EL SISTEMA INMUNITARIO 1 GOMITAS BOTE,GOMAS  VITAMINA C  Y ZINC  ESTIMUNAL EL SISTEMA INMUNITARIO,,1,,,,,,2029-05-16,PFD-65274,8.90422E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
50,,,,TOTAL MAGNESIANO STRESS,TOTAL MAGNESIANO STRESS 30UNIDAD SOBRE POLVO CAJA 7G,,,30,,,7G,,,2028-05-31,PF-64127,7.79534E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
51,,,,Tripacks Levusol Manzana,"TRIPACKS LEVUSOL MANZANA SUEROS ORALES PARA DIABÉTICOS, PRESENTACIÓN FRASCO DE LEVUSOL CONTIENE 475ML DE SOLUCIÓN 475ML LIQUIDO FRASCO (PROMO TRIPACKS LEVUSOL MANZANA Q51.95)","Sueros Orales para diabéticos, presentación frasco de Levusol contiene 475ml de solución",,475,,,,,PROMO Tripacks Levusol Manzana Q51.95,2027-08-23,PF-39438-2022,7.40111E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,
52,,,,MEDIDOR DE PRESIÓN ARTERIAL R-403,"HOSPI MEDIDOR DE PRESIÓN ARTERIAL R-403 PERMITE MEDIR LOS NIVELES DE PRESIÓN ARTERIAL
(SISTÓLICA Y DIASTÓLICA)
DE FORMA RÁPIDA Y CONFIABLE.
 1KG BARRA CAJA 0.37 (24+1)","Permite medir los niveles de presión arterial
(sistólica y diastólica)
de forma rápida y confiable.
",,1,,,0.37,,24+1,2025-05-28,NO APLICA,5.27585E+12,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,
53,,,,Prudence Lub ,PRUDENCE LUB  SABOR Y OLOR UVA 30ML GEL BOTE 30 ML,Sabor y olor Uva,,30,,,30 ml,,,2029-05-03,PMQ-18504,7.50221E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
54,,,,Varen H,VAREN H -30G COMPRIMIDO CAJA,,,-30,,,,,,2029-06-03,PF-64876-2024,7.79813E+12,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
55,,,,BOLSA PARA AGUA 2 LITROS ,RENTA MEDICA/ ALEJANDRO CASTILLO  BOLSA PARA AGUA 2 LITROS  1 BARRA BOLSA,,,1,,,,,,2025-09-11,PMQ-123456,9.26945E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,
56,,,,SETRASEC DIA * 3 TABLETAS RECUBIERTAS ,SETRASEC DIA * 3 TABLETAS RECUBIERTAS  CAJA * 6 TABLETAS  3UNIDAD TABLETA RECUBIERTA CAJA,CAJA * 6 TABLETAS ,,3,,,,,,2030-01-17,PF-66288-2025,7.4011E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,
57,,,,MAN ACTIVE DENK ,MAN ACTIVE DENK  60 CAPSULA CAJA,,,60,,,,,,2028-12-08,PFD-64403,4.03157E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
58,,,,Colgate Maxima Proteccion Anticaries,COLGATE MAXIMA PROTECCION ANTICARIES COLGATE MÁXIMA PROTECCIÓN ANTICARIES TIENE UN ALCANCE INTERDENTAL Y PROTEGE CONTRA LA CARIES HASTA EN LOS LUGARES MÁS DIFÍCILES DE ALCANZAR. 1ML PASTA DENTAL CAJA,Colgate Máxima Protección Anticaries tiene un alcance interdental y protege contra la caries hasta en los lugares más difíciles de alcanzar.,,1,,,,,,2029-10-29,PT-97668,7.50955E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,
59,,,,DONOTOS ,"HOSPI DONOTOS  EXPECTORANTE , ANTIHISTAMINICO, ANTITUSIVO 120LB JARABE CAJA 0.3307 (NINGUNA)","Expectorante , Antihistaminico, Antitusivo",,120,,,0.3307,,ninguna,2029-01-12,PF 55580,7.0602E+11,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
60,,,,Luminous Skin Glow Tónico Exfoliante,LUMINOUS SKIN GLOW TÓNICO EXFOLIANTE 100ML SOLUCION BOTE,,,100,,,,,,2030-09-22,PT-132885,4.006E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
61,,,,VITAL FUERTE BEBIBLE DUOPACK,VITAL FUERTE BEBIBLE DUOPACK DOS CAJAS ATADAS QUE INCLUYEN 10 AMPOLLAS BEBIBLES CADA UNA A UN PRECIO ESPECIAL 20UNIDAD AMPOLLA BEB AMPOLLAS ML (PRECIO ESPECIAL),DOS CAJAS ATADAS QUE INCLUYEN 10 AMPOLLAS BEBIBLES CADA UNA A UN PRECIO ESPECIAL,,20,,,ML,,PRECIO ESPECIAL,2029-05-09,PF-43754-2024,6.75873E+11,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
62,,,,RABANO YODADO LL SOL ORAL FCOX240mL GT,RABANO YODADO LL SOL ORAL FCOX240ML GT VITAMINAS 240ML JARABE FRASCO,VITAMINAS,,240,,,,,,2026-04-03,PFD-65873,7.41169E+13,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,
